Courses List for Exchange-in students_Sem 1 of 2025-2026,,,,,,,,,,,,
"Sorted by Offering Unit, Offering Programme & Course Code",,,,,,,,,,as of 20250520,,
"Offering
Unit","Offering
Programme",Course Code,Course Name,"Units
(Credits)",Teachers,Schedule,Hours,"Course
Category",Medium of Instruction (MOI),Remark,,
FBM,ACCT,ACCT4023,Financial Accounting Theory (1001),3,Dr. Anthony Andong LIU,Tue 14:00-14:50,1,ME,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1001),3,Dr. Man Hung Alvin CHENG,Mon 16:00-17:50,2,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1001),3,Dr. Man Hung Alvin CHENG,Thu 11:00-11:50,1,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1002),3,Dr. Man Hung Alvin CHENG,Fri 16:00-17:50,2,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1002),3,Dr. Man Hung Alvin CHENG,Tue 16:00-16:50,1,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1003),3,Dr. Man Hung Alvin CHENG,Thu 19:00-20:50,2,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1003),3,Dr. Man Hung Alvin CHENG,Tue 14:00-14:50,1,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1004),3,Dr. Brian Mo LAM,Thu 19:00-20:50,2,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1004),3,Dr. Brian Mo LAM,Mon 16:00-16:50,1,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1005),3,Dr. Brian Mo LAM,Mon 19:00-20:50,2,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1005),3,Dr. Brian Mo LAM,Tue 10:00-10:50,1,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1006),3,Dr. Brian Mo LAM,Tue 19:00-20:50,2,MR,English,,,
FBM,ACCT,ACCT4033,Accounting Information Systems (1006),3,Dr. Brian Mo LAM,Mon 15:00-15:50,1,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1001),3,Dr. Anthony Andong LIU,Fri 8:00-9:50,2,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1001),3,Dr. Anthony Andong LIU,Tue 15:00-15:50,1,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1002),3,Mr. Robert Yick Tak CHAN,Fri 13:00-14:50,2,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1002),3,Mr. Robert Yick Tak CHAN,Mon 17:00-17:50,1,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1003),3,Mr. Robert Yick Tak CHAN,Mon 9:00-10:50,2,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1003),3,Mr. Robert Yick Tak CHAN,Fri 16:00-16:50,1,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1004),3,Mr. Robert Yick Tak CHAN,Fri 8:00-9:50,2,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1004),3,Mr. Robert Yick Tak CHAN,Wed 8:00-8:50,1,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1005),3,Mr. Robert Yick Tak CHAN,Fri 17:00-18:50,2,MR,English,,,
FBM,ACCT,ACCT4053,Advanced Accounting II (1005),3,Mr. Robert Yick Tak CHAN,Wed 11:00-11:50,1,MR,English,,,
FBM,ACCT,ACCT4063,Accounting Internship (1001),3,Dr. Anthony Andong LIU,Tue 17:00-17:50,1,ME,English,,,
FBM,ACCT,BUS2053,Principles of Law (1001),3,ACCT New Teacher 1,Thu 10:00-11:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1001),3,ACCT New Teacher 1,Mon 17:00-17:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1002),3,ACCT New Teacher 1,Thu 15:00-16:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1002),3,ACCT New Teacher 1,Mon 15:00-15:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1003),3,ACCT New Teacher 1,Wed 8:00-9:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1003),3,ACCT New Teacher 1,Mon 10:00-10:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1004),3,Dr. Tat Chee TSUI,Tue 14:00-15:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1004),3,Dr. Tat Chee TSUI,Fri 16:00-16:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1005),3,Dr. Tat Chee TSUI,Thu 15:00-16:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1005),3,Dr. Tat Chee TSUI,Wed 9:00-9:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1006),3,Ms. Jue WANG,Fri 8:00-9:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1006),3,Ms. Jue WANG,Tue 14:00-14:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1007),3,Ms. Jue WANG,Mon 9:00-10:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1007),3,Ms. Jue WANG,Thu 15:00-15:50,1,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1008),3,Dr. Chi Ho John TANG,Tue 10:00-11:50,2,MR,English,,,
FBM,ACCT,BUS2053,Principles of Law (1008),3,Dr. Chi Ho John TANG,Fri 17:00-17:50,1,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1001),3,ACCT New Teacher 1,Tue 14:00-15:50,2,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1001),3,ACCT New Teacher 1,Wed 11:00-11:50,1,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1002),3,Ms. Jue WANG,Thu 16:00-17:50,2,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1002),3,Ms. Jue WANG,Tue 17:00-17:50,1,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1003),3,Ms. Jue WANG,Thu 9:00-10:50,2,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1003),3,Ms. Jue WANG,Tue 15:00-15:50,1,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1004),3,Dr. Tat Chee TSUI,Thu 8:00-9:50,2,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1004),3,Dr. Tat Chee TSUI,Tue 16:00-16:50,1,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1005),3,Dr. Tat Chee TSUI,Fri 14:00-15:50,2,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1005),3,Dr. Tat Chee TSUI,Wed 11:00-11:50,1,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1006),3,Dr. Chi Ho John TANG,Tue 14:00-15:50,2,MR,English,,,
FBM,ACCT,BUS3013,Company Law (1006),3,Dr. Chi Ho John TANG,Fri 16:00-16:50,1,MR,English,,,
FBM,ACCT,BUS4023,Management Information Systems (1005),3,Prof. Lingyun QIU,Thu 9:00-10:50,2,ME,English,,,
FBM,ACCT,BUS4023,Management Information Systems (1005),3,Prof. Lingyun QIU,Mon 11:00-11:50,1,ME,English,,,
FBM,ACCT,BUS4023,Management Information Systems (1006),3,Dr. Na JIANG,Tue 10:00-11:50,2,ME,English,,,
FBM,ACCT,BUS4023,Management Information Systems (1006),3,Dr. Na JIANG,Wed 13:00-13:50,1,ME,English,,,
FBM,ACCT,BUS4093,Management Information Systems (1001),3,Dr. Chun Kit LAU,Mon 15:00-17:50,3,MR,English,,,
FBM,ACCT,BUS4093,Management Information Systems (1002),3,Dr. Chun Kit LAU,Tue 15:00-17:50,3,MR,English,,,
FBM,ACCT,BUS4093,Management Information Systems (1003),3,Dr. Don Junyi CHAI,Mon 15:00-16:50,2,MR,English,,,
FBM,ACCT,BUS4093,Management Information Systems (1003),3,Dr. Don Junyi CHAI,Tue 11:00-11:50,1,MR,English,,,
FBM,ACCT,BUS4093,Management Information Systems (1004),3,Prof. Lingyun QIU,Tue 16:00-17:50,2,MR,English,,,
FBM,ACCT,BUS4093,Management Information Systems (1004),3,Prof. Lingyun QIU,Fri 17:00-17:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1010),3,Dr. Zoey Yi XIAO,Tue 8:00-9:50,2,FE,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1010),3,Dr. Zoey Yi XIAO,Thu 13:00-13:50,1,FE,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1001),3,Dr. Zemin LU,Fri 8:00-9:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1001),3,Dr. Zemin LU,Thu 9:00-9:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1002),3,Dr. Zemin LU,Mon 15:00-16:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1002),3,Dr. Zemin LU,Thu 8:00-8:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1003),3,Dr. Hao SHI,Mon 10:00-11:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1003),3,Dr. Hao SHI,Fri 9:00-9:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1004),3,Dr. Sara Xiao CHANG,Fri 13:00-14:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1004),3,Dr. Sara Xiao CHANG,Tue 14:00-14:50,1,MR,English,,,
